symbol,sources
AAPL,"chat_gpt,twitter,google"
AMD,"chat_gpt,claude,twitter,google"
AMZN,"chat_gpt,google"
ANET,"chat_gpt,claude,google"
BABA,chat_gpt
CARR,chat_gpt
CRM,chat_gpt
CSCO,"chat_gpt,claude"
DELL,"chat_gpt,twitter,google"
GOOGL,"chat_gpt,google"
HPE,chat_gpt
IBM,"chat_gpt,google"
INTC,"chat_gpt,claude"
MSFT,"chat_gpt,twitter,google"
NVDA,"chat_gpt,claude,twitter,google"
STX,chat_gpt
TSM,"chat_gpt,google"
WDC,"chat_gpt,claude"
AMAT,claude
AVGO,"claude,twitter,google"
DLR,"claude,google"
EQIX,"claude,google"
KLAC,claude
LRCX,claude
MRVL,claude
QCOM,claude
DDOG,twitter
SE,twitter
SMCI,twitter
TSLA,"twitter,google"
CAT,google
ETN,google
SNOW,google
SO,google
VRT,google
